Date,High,Low,Open,Close,Volume,Adj Close
2021-08-02,3358.919921875,3317.0,3353.10009765625,3331.47998046875,3353915,3331.47998046875
2021-08-03,3391.0,3299.77001953125,3340.719970703125,3366.239990234375,4157343,3366.239990234375
2021-08-04,3388.8798828125,3345.56005859375,3379.35009765625,3354.719970703125,2183945,3354.719970703125
2021-08-05,3389.0,3340.919921875,3356.219970703125,3375.989990234375,2433503,3375.989990234375
2021-08-06,3375.0,3329.037353515625,3375.0,3344.93994140625,2637644,3344.93994140625
2021-08-09,3354.8798828125,3328.52001953125,3343.610107421875,3341.8701171875,2148220,3341.8701171875
2021-08-10,3358.0,3315.0,3345.010009765625,3320.679931640625,2412551,3320.679931640625
2021-08-11,3337.699951171875,3277.7900390625,3331.447021484375,3292.110107421875,2947249,3292.110107421875
2021-08-12,3314.510009765625,3269.669921875,3290.0,3303.5,2323823,3303.5
2021-08-13,3306.06494140625,3283.0,3305.669921875,3293.969970703125,2056699,3293.969970703125
2021-08-16,3300.0,3211.1298828125,3283.0,3298.989990234375,3328494,3298.989990234375
2021-08-17,3280.489990234375,3225.679931640625,3277.5,3241.9599609375,3387922,3241.9599609375
2021-08-18,3254.097412109375,3200.0,3241.989990234375,3201.219970703125,2804311,3201.219970703125
2021-08-19,3233.0,3182.463623046875,3194.02001953125,3187.75,3782862,3187.75
2021-08-20,3207.81005859375,3175.760009765625,3203.87255859375,3199.949951171875,3358428,3199.949951171875
2021-08-23,3280.89990234375,3210.0048828125,3211.89990234375,3265.8701171875,3268131,3265.8701171875
2021-08-24,3315.494140625,3274.580078125,3280.0,3305.780029296875,2551841,3305.780029296875
2021-08-25,3321.0,3286.14990234375,3309.8701171875,3299.179931640625,1680306,3299.179931640625
2021-08-26,3332.0,3296.0,3299.0,3316.0,2098761,3316.0
2021-08-27,3352.320068359375,3313.75,3333.22998046875,3349.6298828125,2402369,3349.6298828125
2021-08-30,3445.0,3355.219970703125,3357.425048828125,3421.570068359375,3192244,3421.570068359375
2021-08-31,3472.580078125,3395.590087890625,3424.800048828125,3470.7900390625,4356413,3470.7900390625
2021-09-01,3527.0,3475.239990234375,3496.39599609375,3479.0,3629911,3479.0
2021-09-02,3511.960693359375,3455.0,3494.760009765625,3463.1201171875,2925594,3463.1201171875
2021-09-03,3482.669921875,3436.43994140625,3452.0,3478.050048828125,2578324,3478.050048828125
2021-09-07,3528.090087890625,3476.93994140625,3478.0,3509.2900390625,2741184,3509.2900390625
2021-09-08,3545.6298828125,3495.669921875,3511.64990234375,3525.5,3053364,3525.5
2021-09-09,3549.989990234375,3480.3701171875,3526.02001953125,3484.159912109375,2719241,3484.159912109375
2021-09-10,3508.449951171875,3462.905517578125,3501.830810546875,3469.14990234375,2397269,3469.14990234375
2021-09-13,3497.9599609375,3438.0,3482.800048828125,3457.169921875,2569022,3457.169921875
2021-09-14,3486.805908203125,3437.71044921875,3475.550048828125,3450.0,1936897,3450.0
2021-09-15,3485.419921875,3402.010009765625,3442.52001953125,3475.7900390625,2957537,3475.7900390625
2021-09-16,3492.550048828125,3446.143310546875,3459.9599609375,3488.239990234375,2583598,3488.239990234375
